,index,pred,expt,idxs
0,0,2.143830636943264,0.7494297670801456,6.142857142857143
1,1,4.290378290051621,4.839589604247266,10.0
2,2,3.5388379573853035,4.709697987118238,15.0
3,3,2.2210560072948677,3.669342116533025,16.0
4,4,3.35020125502787,4.016279311158366,17.0
5,5,2.414502256796687,0.8051921986463181,18.0
6,6,0.9839945574889317,1.3620248396848809,19.0
7,7,1.7616471458138625,2.224866200966448,20.0
8,8,3.9115380912870696,3.560085915964837,21.0
9,9,2.7312140532286016,1.6350165485093886,22.0
10,10,2.2972433634044367,2.706172259978959,23.0
11,11,2.4501599433702053,0.5778352477724606,24.0
12,12,1.1017178806669885,2.433484751902585,25.0
13,13,1.6222990611719894,1.7818551634361537,26.0
14,14,2.6006081010671918,3.0829018476340764,27.0
15,15,4.440787105365996,4.707794016517282,29.0
16,16,2.758192449424379,4.017325243394266,30.0
17,17,2.8277678034512834,4.253110886367159,31.0
18,18,2.3887407920899935,1.880526848352965,32.0
19,19,0.9968447625082609,2.500355317735857,33.0
20,20,0.734100846228045,0.587823112593958,34.0
21,21,1.572032557033943,3.92067656526738,35.0
22,22,2.0987913197521806,3.1811613545498902,36.0
23,23,2.7877364520080374,1.6941447440471793,37.0
24,24,0.10624323342377051,0.9615647431780092,38.0
25,25,2.5711404304106735,2.351620438994783,39.0
26,26,3.991926752349905,3.76319794854714,40.0
27,27,4.701115305824816,4.176186715215268,41.0
28,28,3.8437885346969902,4.40996646437954,42.0
29,29,2.573471413967253,3.171355581256237,43.0
30,30,3.7722525259496313,3.864929640677639,44.0
31,31,4.169017770750968,3.474571943005823,45.0
32,32,4.937153892513245,4.034126342661748,46.0
33,33,4.200414751763051,4.05714401492708,47.0
34,34,4.095347511813177,4.350897406217321,48.0
35,35,3.780021656658355,4.439842566522055,49.0
36,36,3.4653525582357245,4.706303626503504,50.0
37,37,2.9673163813117904,2.818123311501946,51.0
38,38,3.641395812922509,3.4364782780763887,52.0
39,39,2.343314194149475,2.007535655428523,53.0
40,40,3.9613514607593623,2.715370684106582,54.0
41,41,3.895134292191128,2.673845787443786,55.0
42,42,3.2497851965646363,2.4295941651713124,56.0
43,43,2.384178983926775,3.579674833252274,57.0
44,44,4.013232478812367,4.479072703995157,58.0
45,45,4.576073668718624,3.883892953275546,59.0
46,46,4.2320825216440445,3.884189823575288,60.0
47,47,3.8624295876145056,4.286318750015257,61.0
48,48,3.773121185835672,4.217498503655141,62.0
49,49,3.8839711514862705,4.0365087127281445,63.0
